ORDERNUMBER,ORDERDATE,SALES,COUNTRY,STATUS
10159,10-10-2003 00:00,5205.27,USA,Shipped
10188,11/18/2003 0:00,5512.32,Norway,Shipped
10341,11/24/2004 0:00,7737.93,Austria,Shipped
10417,5/13/2005 0:00,7516.08,Spain,Disputed
10103,1/29/2003 0:00,5404.62,Norway,Shipped
10112,3/24/2003 0:00,7209.11,Sweden,Shipped
10126,5/28/2003 0:00,7329.06,Spain,Shipped
10140,7/24/2003 0:00,7374.1,USA,Shipped
10150,9/19/2003 0:00,10993.5,Singapore,Shipped
10174,11-06-2003 00:00,8014.82,Australia,Shipped
10183,11/13/2003 0:00,5372.57,USA,Shipped
10194,11/25/2003 0:00,7290.36,France,Shipped
10206,12-05-2003 00:00,9064.89,Canada,Shipped
10215,1/29/2004 0:00,6075.3,USA,Shipped
10228,03-10-2004 00:00,6463.23,USA,Shipped
10245,05-04-2004 00:00,6120.34,USA,Shipped
10258,6/15/2004 0:00,7680.64,Japan,Shipped
10280,8/17/2004 0:00,8014.82,Italy,Shipped
10291,09-08-2004 00:00,7136.19,Sweden,Shipped
10304,10-11-2004 00:00,10172.7,France,Shipped
10312,10/21/2004 0:00,11623.7,USA,Shipped
10322,11-04-2004 00:00,6000.4,USA,Shipped
10357,12-10-2004 00:00,5691.84,USA,Shipped
10381,2/17/2005 0:00,8254.8,USA,Shipped
10424,5/31/2005 0:00,12001.0,Spain,In Process
10145,8/25/2003 0:00,5192.95,USA,Shipped
10159,10-10-2003 00:00,5016.83,USA,Shipped
10223,2/20/2004 0:00,5422.39,Australia,Shipped
10251,5/18/2004 0:00,5756.52,USA,Shipped
10285,8/27/2004 0:00,6484.59,USA,Shipped
10318,11-02-2004 00:00,5566.5,USA,Shipped
10374,02-02-2005 00:00,5288.01,Australia,Shipped
10402,04-07-2005 00:00,5833.8,France,Shipped
10417,5/13/2005 0:00,5887.35,Spain,Disputed
10107,2/24/2003 0:00,6065.55,USA,Shipped
10120,4/29/2003 0:00,9264.86,Australia,Shipped
10134,07-01-2003 00:00,7023.98,France,Shipped
